��textbox24,textbox19,textbox5,DISTANCE_KONTROLA_0_1,DISTANCE_KONTROLA_NOT_0_1,OBISK_2,textbox4,textbox15,textbox18,textbox23,textbox25,OBISK_1,NAPRAVA,IME_VOZNIKA,TIME_RECEIVED_MIN,TIME_RECEIVED_MAX,StopTime,NASLOV,DISTANCE_KONTROLA_0,DISTANCE_KONTROLA_NOT_0,OBISK
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 03:07:38,17.10.2018 03:10:56,,ARK-MIHELI: Viskovo: Ty,,,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 03:17:12,17.10.2018 03:21:56,0:04:44,"HRVATSKA: SAR`ONI, LUII",0,3.991,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 03:23:51,17.10.2018 03:24:53,0:01:02,"HRVATSKA: MLADENII, }5055",0,1.011,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 03:32:21,17.10.2018 03:35:48,0:03:27,"HRVATSKA: KASTAV, }5020",0,5.19,1
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 03:32:21,17.10.2018 03:35:48,,AUTO KUA LENAC: Kastav: (RN),,,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 03:32:21,17.10.2018 03:35:48,,AUTO KUA LENAC: Kastav: RN,,,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 03:43:45,17.10.2018 03:54:38,0:10:53,"HRVATSKA: RIJEKA, ",0,5.375,1
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 03:43:45,17.10.2018 03:54:38,,"""PSC PRIMORJE; Rijeka: GM""",,,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 03:43:45,17.10.2018 03:54:38,,"""PSC PRIMORJE; Rijeka: (GM)""",,,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 03:43:45,17.10.2018 03:54:38,,"KU}ELKA, Rijeka, Peugeot",,,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 03:56:53,17.10.2018 03:57:31,0:00:38,"HRVATSKA: RIJEKA, ",0,1.334,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 04:03:19,17.10.2018 04:04:04,0:00:45,"HRVATSKA: RIJEKA, OREHOVICA",0,8.242,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 04:07:53,17.10.2018 04:16:36,0:08:43,"HRVATSKA: RIJEKA, ULICA ZDRAVKA KUIA",0,4.149,1
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 04:07:53,17.10.2018 04:16:36,,AUTONIPPON: Rijeka: Ty,,,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 04:07:53,17.10.2018 04:16:36,,AUTONIPPON: Rijeka: (Ty),,,
,,,,,,,,,,,,,,,,,,,,
